epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.634,1.9819,2.88793,1.82889,0.24127,0.25305,0.15592,0.05739,2.21744,2.98478,2.02982,0.000554861,0.000554861,0.000554861
2,900.323,1.9649,2.32964,1.81031,0.23317,0.25085,0.15693,0.05354,2.43878,2.852,2.27075,0.00107388,0.00107388,0.00107388
3,1354.75,1.93449,2.23365,1.80287,0.35998,0.38169,0.29874,0.12096,2.06244,2.17832,1.82794,0.00155623,0.00155623,0.00155623
4,1842.3,1.91405,2.13205,1.75502,0.38319,0.38853,0.31959,0.13236,2.06161,2.1307,1.84943,0.00150197,0.00150197,0.00150197
5,2205.99,1.87479,2.04845,1.72821,0.43522,0.48698,0.38504,0.16532,1.98466,1.91108,1.79466,0.00144696,0.00144696,0.00144696
6,2548.99,1.83132,1.96885,1.69844,0.41175,0.42109,0.34698,0.14967,2.05946,2.19037,1.89687,0.00139195,0.00139195,0.00139195
7,2892,1.79559,1.90976,1.6655,0.44615,0.49886,0.42521,0.18788,1.92614,1.8609,1.75112,0.00133693,0.00133693,0.00133693
8,3235.97,1.77184,1.86584,1.64469,0.4663,0.50591,0.43717,0.19082,1.91642,1.82749,1.71098,0.00128192,0.00128192,0.00128192
9,3579.63,1.75619,1.84532,1.62844,0.46425,0.51247,0.44159,0.20025,1.85018,1.76611,1.68241,0.00122691,0.00122691,0.00122691
10,3924.7,1.73478,1.81774,1.62433,0.48334,0.51715,0.46682,0.20998,1.89275,1.74859,1.71406,0.0011719,0.0011719,0.0011719
11,4268.65,1.71792,1.77059,1.5975,0.4972,0.50762,0.47973,0.21906,1.85663,1.68347,1.6598,0.00111689,0.00111689,0.00111689
12,4612.32,1.71064,1.75185,1.59955,0.5049,0.52803,0.48512,0.22627,1.84417,1.69063,1.68569,0.00106188,0.00106188,0.00106188
13,4956.48,1.68695,1.72123,1.58584,0.51001,0.50092,0.48392,0.23017,1.80343,1.64699,1.65508,0.00100687,0.00100687,0.00100687
14,5302.15,1.68541,1.71035,1.58096,0.49484,0.54623,0.50595,0.23868,1.83035,1.63994,1.65084,0.000951857,0.000951857,0.000951857
15,5647.28,1.67283,1.66625,1.56021,0.48786,0.55254,0.51034,0.24053,1.79627,1.61546,1.62989,0.000896846,0.000896846,0.000896846
16,5992.23,1.65613,1.63478,1.55174,0.4819,0.55657,0.49862,0.23589,1.80445,1.61439,1.65934,0.000841835,0.000841835,0.000841835
17,6335.91,1.64008,1.62317,1.55188,0.50773,0.53989,0.5165,0.24924,1.77544,1.56388,1.62196,0.000786824,0.000786824,0.000786824
18,6679.23,1.62817,1.59906,1.53712,0.52866,0.54479,0.52964,0.25379,1.78312,1.52797,1.63885,0.000731813,0.000731813,0.000731813
19,7024,1.6186,1.56681,1.52325,0.55593,0.53565,0.54917,0.26415,1.76702,1.50646,1.60717,0.000676802,0.000676802,0.000676802
20,7369.41,1.5989,1.54976,1.50578,0.5247,0.56827,0.55074,0.26208,1.75389,1.49789,1.60362,0.000621791,0.000621791,0.000621791
21,7746.06,1.64142,1.47556,1.55095,0.51862,0.61227,0.55824,0.27467,1.73303,1.46949,1.5911,0.00056678,0.00056678,0.00056678
22,8091.87,1.62076,1.44348,1.54631,0.54606,0.56965,0.56366,0.27765,1.72182,1.4575,1.59506,0.000511769,0.000511769,0.000511769
23,8436.37,1.60002,1.40958,1.52808,0.53198,0.58615,0.57003,0.28357,1.715,1.43387,1.57734,0.000456758,0.000456758,0.000456758
24,8781.45,1.57756,1.37074,1.51886,0.53608,0.60478,0.56647,0.28361,1.70639,1.41912,1.57027,0.000401747,0.000401747,0.000401747
25,9125.58,1.55897,1.34895,1.50354,0.54435,0.60999,0.57945,0.29234,1.69989,1.39742,1.57344,0.000346736,0.000346736,0.000346736
26,9468.77,1.53306,1.31663,1.49017,0.54517,0.61353,0.58515,0.29627,1.69098,1.37841,1.56835,0.000291725,0.000291725,0.000291725
27,9811.69,1.5172,1.28422,1.47532,0.54257,0.60852,0.58739,0.29824,1.6808,1.37084,1.55789,0.000236714,0.000236714,0.000236714
28,10155.9,1.49483,1.26409,1.45953,0.54944,0.59849,0.58914,0.29862,1.68242,1.36431,1.55786,0.000181703,0.000181703,0.000181703
29,10503.1,1.48039,1.23942,1.4481,0.54045,0.61018,0.59257,0.30157,1.67213,1.34444,1.55357,0.000126692,0.000126692,0.000126692
30,10847.9,1.45595,1.22059,1.43419,0.54831,0.61694,0.59879,0.30461,1.67101,1.33329,1.55172,7.1681e-05,7.1681e-05,7.1681e-05
